method,obj,runtime,cpu_runtime,mip_gap,obj_bound,status,ga_seed,N,L,demand,instance_seed
MIP,2915.6,0.03099989891052246,0.03125,0.0,2915.6,2.0,,2,8,constant,7
RuleOfThumb,2922.4000000000005,0.0005440711975097656,0.0,,,,,2,8,constant,7
MyopicGreedy,inf,0.0005741119384765625,0.0,,,,,2,8,constant,7
GA,2919.0,2.6959116458892822,2.1875,,,,1.0,2,8,constant,7
GA,2920.7000000000003,2.772320508956909,2.078125,,,,2.0,2,8,constant,7
GA,2919.0,2.188911199569702,2.0,,,,3.0,2,8,constant,7
MIP,2554.12,0.12100005149841309,0.296875,0.0,2554.12,2.0,,2,8,increasing,7
RuleOfThumb,2935.12,0.0005714893341064453,0.0,,,,,2,8,increasing,7
MyopicGreedy,inf,0.0005247592926025391,0.0,,,,,2,8,increasing,7
GA,2555.82,2.5259652137756348,2.1875,,,,1.0,2,8,increasing,7
GA,2557.52,2.430323839187622,2.03125,,,,2.0,2,8,increasing,7
GA,2557.52,2.0563597679138184,1.921875,,,,3.0,2,8,increasing,7
MIP,,0.005000114440917969,0.015625,,inf,3.0,,2,8,random,7
RuleOfThumb,inf,0.0,0.0,,,,,2,8,random,7
MyopicGreedy,inf,0.0005626678466796875,0.0,,,,,2,8,random,7
GA,7000503.11,0.5708963871002197,0.546875,,,,1.0,2,8,random,7
GA,7000503.11,0.8892512321472168,0.671875,,,,2.0,2,8,random,7
GA,7000503.11,0.7638812065124512,0.671875,,,,3.0,2,8,random,7
MIP,2586.2,0.05500006675720215,0.171875,3.866676977801758e-05,2586.1,2.0,,3,10,constant,7
RuleOfThumb,5525.0,0.0005462169647216797,0.0,,,,,3,10,constant,7
MyopicGreedy,3305.5,0.0016608238220214844,0.015625,,,,,3,10,constant,7
GA,2885.0,3.4633519649505615,3.015625,,,,1.0,3,10,constant,7
GA,2586.5,2.823944568634033,2.671875,,,,2.0,3,10,constant,7
GA,2888.8,2.9094557762145996,2.8125,,,,3.0,3,10,constant,7
MIP,3512.899957933711,0.7060000896453857,4.03125,0.0,3512.899957933711,2.0,,3,10,increasing,7
RuleOfThumb,5538.200000000001,0.0005583763122558594,0.0,,,,,3,10,increasing,7
MyopicGreedy,3673.9,0.001607656478881836,0.0,,,,,3,10,increasing,7
GA,3515.2999999999997,3.3132858276367188,2.90625,,,,1.0,3,10,increasing,7
GA,3518.7999999999997,2.9943697452545166,2.890625,,,,2.0,3,10,increasing,7
GA,3517.9,3.0809998512268066,2.9375,,,,3.0,3,10,increasing,7
MIP,3498.4669881091395,0.8110001087188721,4.46875,5.263735663367868e-06,3498.448573103687,2.0,,3,10,random,7
RuleOfThumb,5530.887000000001,0.0,0.0,,,,,3,10,random,7
MyopicGreedy,inf,0.002674102783203125,0.0,,,,,3,10,random,7
GA,3501.987,3.1591475009918213,2.84375,,,,1.0,3,10,random,7
GA,3504.4869999999996,3.9038748741149902,3.546875,,,,2.0,3,10,random,7
GA,3577.687,3.6916394233703613,3.1875,,,,3.0,3,10,random,7
MIP,3661.199597285208,13.575999975204468,76.078125,3.605069656326836e-05,3661.0676084894685,2.0,,4,14,constant,7
RuleOfThumb,8965.2,0.0005300045013427734,0.0,,,,,4,14,constant,7
MyopicGreedy,3991.2,0.009459495544433594,0.0,,,,,4,14,constant,7
GA,3723.5,4.961535930633545,4.734375,,,,1.0,4,14,constant,7
GA,3731.4,4.689793109893799,4.546875,,,,2.0,4,14,constant,7
GA,3724.4,4.66746187210083,4.5625,,,,3.0,4,14,constant,7
MIP,5972.900000000001,0.1979999542236328,0.859375,7.310810400316454e-05,5972.4633326056,2.0,,4,14,increasing,7
RuleOfThumb,8949.7,0.0005352497100830078,0.0,,,,,4,14,increasing,7
MyopicGreedy,inf,0.009086370468139648,0.0,,,,,4,14,increasing,7
GA,6180.0,4.912320137023926,4.8125,,,,1.0,4,14,increasing,7
GA,6077.4000000000015,4.873950004577637,4.734375,,,,2.0,4,14,increasing,7
GA,6193.5,4.932629823684692,4.828125,,,,3.0,4,14,increasing,7
MIP,4749.662350743421,2.9619998931884766,24.0625,0.0,4749.662350743421,2.0,,4,14,random,7
RuleOfThumb,8981.438000000002,0.0010921955108642578,0.0,,,,,4,14,random,7
MyopicGreedy,4976.938,0.007191658020019531,0.015625,,,,,4,14,random,7
GA,4765.738,4.599855422973633,4.5,,,,1.0,4,14,random,7
GA,4976.938,4.619186162948608,4.5,,,,2.0,4,14,random,7
GA,4908.737999999999,4.551231861114502,4.328125,,,,3.0,4,14,random,7
MIP,4737.700000000001,50.38100004196167,355.859375,9.862320709180144e-05,4737.232752831762,2.0,,5,18,constant,7
RuleOfThumb,inf,0.0005905628204345703,0.0,,,,,5,18,constant,7
MyopicGreedy,5177.8,0.05953097343444824,0.03125,,,,,5,18,constant,7
GA,4984.6,7.860203742980957,7.34375,,,,1.0,5,18,constant,7
GA,4909.200000000001,7.45841383934021,7.25,,,,2.0,5,18,constant,7
GA,4966.8,7.17052149772644,7.046875,,,,3.0,5,18,constant,7
MIP,8958.42,5.871999979019165,33.65625,9.96007793627e-05,8957.527734386142,2.0,,5,18,increasing,7
RuleOfThumb,inf,0.0010981559753417969,0.0,,,,,5,18,increasing,7
MyopicGreedy,inf,0.054798126220703125,0.046875,,,,,5,18,increasing,7
GA,9265.220000000001,7.4695446491241455,7.25,,,,1.0,5,18,increasing,7
GA,9252.92,7.525173902511597,7.328125,,,,2.0,5,18,increasing,7
GA,9216.220000000001,7.473840713500977,7.328125,,,,3.0,5,18,increasing,7
MIP,6468.876,6.898999929428101,58.859375,9.916433879419928e-05,6468.2345181887185,2.0,,5,18,random,7
RuleOfThumb,inf,0.0011010169982910156,0.0,,,,,5,18,random,7
MyopicGreedy,inf,0.06113576889038086,0.0625,,,,,5,18,random,7
GA,6730.398999999999,7.165737867355347,6.921875,,,,1.0,5,18,random,7
GA,6677.799000000002,7.4963908195495605,7.21875,,,,2.0,5,18,random,7
GA,6682.999000000002,7.303429365158081,6.9375,,,,3.0,5,18,random,7
MIP,5413.5,28.091000080108643,181.609375,9.672504451551497e-05,5412.976378971515,2.0,,6,21,constant,7
RuleOfThumb,inf,0.0005488395690917969,0.0,,,,,6,21,constant,7
MyopicGreedy,5908.500000000001,0.35947251319885254,0.34375,,,,,6,21,constant,7
GA,5601.400000000001,9.528637409210205,9.21875,,,,1.0,6,21,constant,7
GA,5537.9000000000015,9.790755271911621,9.46875,,,,2.0,6,21,constant,7
GA,5547.1,9.869084358215332,9.484375,,,,3.0,6,21,constant,7
MIP,11525.050000000001,30.236000061035156,196.6875,9.811279831784328e-05,11523.919245093748,2.0,,6,21,increasing,7
RuleOfThumb,inf,0.0005693435668945312,0.0,,,,,6,21,increasing,7
MyopicGreedy,inf,0.34211134910583496,0.34375,,,,,6,21,increasing,7
GA,12201.65,10.466057300567627,9.984375,,,,1.0,6,21,increasing,7
GA,12091.05,11.030857801437378,10.375,,,,2.0,6,21,increasing,7
GA,12332.75,9.87474799156189,9.34375,,,,3.0,6,21,increasing,7
MIP,7441.63672993299,60.02300000190735,406.625,0.0006297459426452435,7436.950389395675,9.0,,6,21,random,7
RuleOfThumb,inf,0.001125335693359375,0.0,,,,,6,21,random,7
MyopicGreedy,inf,0.49532532691955566,0.421875,,,,,6,21,random,7
GA,7790.750999999999,9.950303316116333,9.484375,,,,1.0,6,21,random,7
GA,7781.150999999998,9.418468475341797,9.203125,,,,2.0,6,21,random,7
GA,7769.150999999998,11.44135332107544,10.28125,,,,3.0,6,21,random,7
MIP,6730.599999999999,46.43600010871887,269.578125,9.894049484218269e-05,6729.934071105415,2.0,,8,26,constant,7
RuleOfThumb,inf,0.0011494159698486328,0.0,,,,,8,26,constant,7
MyopicGreedy,7390.500000000001,15.711052894592285,15.296875,,,,,8,26,constant,7
GA,6932.1,29.063291788101196,28.203125,,,,1.0,8,26,constant,7
GA,7098.300000000001,32.03737211227417,30.09375,,,,2.0,8,26,constant,7
GA,7124.500000000001,28.37166404724121,27.53125,,,,3.0,8,26,constant,7
MIP,16623.15,47.45100021362305,271.3125,9.540972154079713e-05,16621.56398988737,2.0,,8,26,increasing,7
RuleOfThumb,inf,0.0006003379821777344,0.0,,,,,8,26,increasing,7
MyopicGreedy,inf,13.60828971862793,13.234375,,,,,8,26,increasing,7
GA,18221.3,25.47850203514099,24.9375,,,,1.0,8,26,increasing,7
GA,18615.2,25.99358034133911,25.359375,,,,2.0,8,26,increasing,7
GA,18567.9,27.071685075759888,25.90625,,,,3.0,8,26,increasing,7
MIP,9542.406999031331,60.02500009536743,493.359375,0.0027121137317045268,9516.526905975745,9.0,,8,26,random,7
RuleOfThumb,inf,0.0011115074157714844,0.0,,,,,8,26,random,7
MyopicGreedy,9922.493,17.70111608505249,16.90625,,,,,8,26,random,7
GA,9922.493,30.275954246520996,29.125,,,,1.0,8,26,random,7
GA,9922.493,29.74122953414917,28.765625,,,,2.0,8,26,random,7
GA,9890.293,28.141112565994263,27.390625,,,,3.0,8,26,random,7
