N,L,demand,method,obj_mean,obj_min,obj_max,runtime_mean,cpu_runtime_mean,mip_gap,obj_bound
2,8,constant,MIP,2915.6,2915.6,2915.6,0.0309998989105224,0.03125,0.0,2915.6
2,8,constant,RuleOfThumb,2922.4000000000005,2922.4000000000005,2922.4000000000005,0.0005440711975097,0.0,,
2,8,constant,MyopicGreedy,,,,0.0005741119384765,0.0,,
2,8,increasing,MIP,2554.12,2554.12,2554.12,0.121000051498413,0.296875,0.0,2554.12
2,8,increasing,RuleOfThumb,2935.12,2935.12,2935.12,0.0005714893341064,0.0,,
2,8,increasing,MyopicGreedy,,,,0.0005247592926025,0.0,,
2,8,random,MIP,,,,0.0050001144409179,0.015625,,inf
2,8,random,RuleOfThumb,,,,0.0,0.0,,
2,8,random,MyopicGreedy,,,,0.0005626678466796,0.0,,
3,10,constant,MIP,2586.2,2586.2,2586.2,0.0550000667572021,0.171875,3.866676977801758e-05,2586.1
3,10,constant,RuleOfThumb,5525.0,5525.0,5525.0,0.0005462169647216,0.0,,
3,10,constant,MyopicGreedy,3305.5,3305.5,3305.5,0.0016608238220214,0.015625,,
3,10,increasing,MIP,3512.899957933711,3512.899957933711,3512.899957933711,0.7060000896453857,4.03125,0.0,3512.899957933711
3,10,increasing,RuleOfThumb,5538.200000000001,5538.200000000001,5538.200000000001,0.0005583763122558,0.0,,
3,10,increasing,MyopicGreedy,3673.9,3673.9,3673.9,0.0016076564788818,0.0,,
3,10,random,MIP,3498.4669881091395,3498.4669881091395,3498.4669881091395,0.8110001087188721,4.46875,5.263735663367868e-06,3498.448573103687
3,10,random,RuleOfThumb,5530.887000000001,5530.887000000001,5530.887000000001,0.0,0.0,,
3,10,random,MyopicGreedy,,,,0.0026741027832031,0.0,,
4,14,constant,MIP,3661.199597285208,3661.199597285208,3661.199597285208,13.575999975204468,76.078125,3.605069656326836e-05,3661.067608489469
4,14,constant,RuleOfThumb,8965.2,8965.2,8965.2,0.0005300045013427,0.0,,
